SEQ,N,16,6.LONG,N,16,6.LAT,N,16,6.LOCAL_ED,C,254.LOCALIZACA,C,254.REFERENCIA,C,254.DATA,D.MES,N,16,6.H_INICIO,C,254.H_FIM,C,254.DURACAO,C,254.DUR_H,N,7,2.id_estacao,C,21.codestacao,C,254.latitude,N,24,15.longitude,N,24,15.nome,C,254.id_municip,N,10,0.rede,C,254.tipoestaca,C,254.geocodigo,N,10,0.cidade,C,254.xcoord,N,24,15.ycoord,N,24,15
289.-46,63891.-23,54981.PC DA BANDEIRA.PC DA BANDEIRA REPUBLICA.PQ ANHANGABAU-BAIRROCENTRO - LOCAL-SE.15/02/2019.2.21:36:00.22:04:00.00:28:00.0,47.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
293.-46,640456.-23,549091.PC DA BANDEIRA.PC DA BANDEIRA.AV NOVE DE JULHO-CENTROBAIRRO-SE.15/02/2019.2.21:43:00.22:02:00.00:19:00.0,32.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
318.-46,628561.-23,557195.R TEIXEIRA LEITE.R TEIXEIRA LEITE.R S PAULO-UNICO-SE.16/02/2019.2.19:08:00.21:33:00.02:25:00.2,42.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
324.-46,62947.-23,540356.AV MERCURIO.AV MERCURIO.R DA CANTAREIRA-UNICO-SE.16/02/2019.2.19:37:00.00:00:00.04:23:00.4,38.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
372.-46,63891.-23,54979.PC DA BANDEIRA.PC DA BANDEIRA (REPUBLICA).PQ ANHANGABAU - BAIRRO/CENTRO.21/02/2019.2.18:55:00.20:02:00.01:07:00.1,12.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
374.-46,63882.-23,54827.AV VINTE E TRES DE MAIO.AV VINTE E TRES DE MAIO.AV NOVE DE JULHO - SANTANA/AEROPORTO.21/02/2019.2.18:57:00.19:44:00.00:47:00.0,78.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
384.-46,624845.-23,533575.AV DO ESTADO.AV DO ESTADO (BOM RETIRO).ALTURA DO Nâ”œÃœMERO 2023 - SANTANA/IPIRANGA.21/02/2019.2.19:22:00.22:37:00.03:15:00.3,25.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
392.-46,628561.-23,557195.R SAO PAULO.R S PAULO (LIBERDADE).R TEIXEIRA LEITE - UNICO.21/02/2019.2.19:34:00.19:53:00.00:19:00.0,32.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
393.-46,625495.-23,534161.R JOAO TEODORO.R JOAO TEODORO (BOM RETIRO).AV DO ESTADO - BAIRRO/CENTRO.21/02/2019.2.19:35:00.22:36:00.03:01:00.3,02.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
395.-46,62947.-23,540356.AV MERCURIO.AV MERCURIO (SE).R DA CANTAREIRA - AMBOS.21/02/2019.2.19:37:00.21:03:00.01:26:00.1,43.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
