,Unnamed: 0,date,text,Time,Date
8547,8547,2019-01-11 00:17:30-02:00,"🔥CHUVA DE SEGUIDORES 11 7 MIL🔥
 #folowtrick… https://t.co/GnsVzTn8yX",00:17,2019-01-11
8606,8606,2019-01-10 23:02:37-02:00,Chuva em São Paulo  Brazil https://t.co/A9irvWfonO,23:02,2019-01-10
8610,8610,2019-01-10 22:53:04-02:00,A tempestade que chega é da cor dos teus olhos  castanhos!!!! 😋 em São Paulo  Brazil https://t.co/zJg3Ogg1qZ,22:53,2019-01-10
8758,8758,2019-01-12 19:40:23-02:00,Evento mágico. #poschuva #afterrain #arcoiris #rainbow #nikon #nikond5300 #natureza #nature #eventosdanatureza em São Paulo  Brazil https://t.co/QgMAq9G1Vi,19:40,2019-01-12
8762,8762,2019-01-12 19:35:08-02:00,"Parabéns Belém - 403 anos
Parabéns belenenses
Terra de gente bonita e acolhedora. Da chuva (da tarde)  da manga  do açaí  do jambú  da chicória  do tucupi  do tacacá  do Nilson (Chaves)  … https://t.co/duJNrR1sx8",19:35,2019-01-12
10343,10343,2019-01-14 20:02:57-02:00,"Esplêndido evento.
 #arcoiris #rainbow #picoftheday #photografhers #photo #nikon #nikond5300 em São Paulo  Brazil https://t.co/514hV1o10b",20:02,2019-01-14
10414,10414,2019-01-14 18:37:09-02:00,Após a tempestade   um lindo arco-íris 🌈 😊👏 em São Paulo  Brazil https://t.co/8H65jWzwY9,18:37,2019-01-14
10533,10533,2019-01-14 16:25:26-02:00,"Já que está chovendo  bora comer bolinho de chuva. 😂😂😂
PS: Tem gente dizendo que a culpa de estar chovendo é minha.
#bolinhodechuva em São Paulo  Brazil https://t.co/v5DR4voQr8",16:25,2019-01-14
10778,10778,2019-01-14 10:50:16-02:00,"Fechamento de área com vidro incolor  contra chuva  ventos  poeiras sem perder a claridade...
#fechamento #vidro #gratidão #obrigadocliente #qualivetro em São Paulo  Brazil https://t.co/DzFTKVJ7SC",10:50,2019-01-14
11366,11366,2019-01-15 16:24:27-02:00,"🔥CHUVA DE SEGUIDORES 11 6 MIL🔥
 #folowtrick… https://t.co/nScjsidaiz",16:24,2019-01-15
11367,11367,2019-01-15 16:23:06-02:00,"🔥CHUVA DE SEGUIDORES 11 6 MIL🔥
 #folowtrick… https://t.co/5OsO4Nt6r6",16:23,2019-01-15
11368,11368,2019-01-15 16:22:55-02:00,"🔥CHUVA DE SEGUIDORES 11 6 MIL🔥
 #folowtrick… https://t.co/x0egXh6RNP",16:22,2019-01-15
11401,11401,2019-01-15 15:38:56-02:00,Chuva de granizo ontem.⛈☄ em São Paulo  Brazil https://t.co/KE2YlTmuH6,15:38,2019-01-15
11415,11415,2019-01-15 15:04:30-02:00,Curiosidade: apenas 20% dos sinais da pele vêm do processo natural de envelhecimento! Todo o resto - poluição  raios solares e fatores relacionados ao nosso estilo de vida - pode ser… https://t.co/4Hmh6uLQ4M,15:04,2019-01-15
11601,11601,2019-01-15 10:44:23-02:00,"Os raios vistos da janela do avião. ✈️🛫⛈️⚡
Talvez um dos fenômenos mais bonitos que já vi. 😍
#natureza #nature #raios #trovão #chuva #rain #thunder #sky #clouds #ceu… https://t.co/QaT5j7hM1V",10:44,2019-01-15
12721,12721,2019-01-16 00:02:29-02:00,#Rumores dizem que a #Apple pode lançar novos #ipodtouch e trocar entrada #Lightning por #USB-C em futuros #iPhones. Leia tudo em @all_thingsapple em São Paulo  Brazil https://t.co/9X509KW509,00:02,2019-01-16
12790,12790,2019-01-15 22:19:30-02:00,"28 years of #nativeson   #debutalbum of #thejudybats  a band of Knoxville  Tennessee . 
Some songs include : She Lives (In a Time of Her Own)  Waiting for the Rain  Counting Sheep  Native… https://t.co/kNiSwU05pU",22:19,2019-01-15
12791,12791,2019-01-15 22:15:17-02:00,Existem dias de sol 🌞  dias nublados e dias de ☔ chuva mas você não é o 🌞 sol  as nuvens ou a chuva ☔... Você é o CÉU!! Obrigada pelo ❤ carinho e adorei o… https://t.co/SDpffEcPuR,22:15,2019-01-15
12877,12877,2019-01-17 20:51:02-02:00,"Love has no gender 🏳️‍🌈
#rainbow #diversidade em São Paulo  Brazil https://t.co/9AqjOgD1t6",20:51,2019-01-17
12897,12897,2019-01-17 20:31:46-02:00,"Chuva abençoada 🙏🏻
#chuva #instalike #diadechuva #cidadedagaroa em São Paulo  Brazil https://t.co/7CnGWM4dOc",20:31,2019-01-17
12907,12907,2019-01-17 20:14:06-02:00,"O cenário perfeito pra se ouvir uma música gostosa no fone de ouvido e pensar sobre a vida...🌦️🎧
#rain #saopaulo #sp #window em São Paulo  Brazil https://t.co/zg4zfMfPaT",20:14,2019-01-17
12999,12999,2019-01-17 18:29:29-02:00,"Chuva de verão... 
Dezembro de 2018 
#tbt #summer #rain #sky #sp #city em Bella Mooca https://t.co/85Fvrn2cR7",18:29,2019-01-17
13018,13018,2019-01-17 18:06:59-02:00,"De agora!!!
'É dia de sol  mas o tempo pode fechar
A chuva só vem quando tem que molhar
Na vida é preciso aprender
Se colhe o bem que plantar
É Deus quem… https://t.co/xYHJ4gcWLR",18:06,2019-01-17
13047,13047,2019-01-17 17:19:10-02:00,"Será que vai chover?
#chuva #rain em São Paulo  Brazil https://t.co/FrsrKLojPx",17:19,2019-01-17
13156,13156,2019-01-17 15:19:05-02:00,#tbt do dia em que a maior preocupação era a chuva mesmo  afinal  é importante manter o nome do grupo. Aproveito pra perguntar  já comprou ingresso pro nossos shows no @sescvilamariana?… https://t.co/SAwLCuAf1e,15:19,2019-01-17
13833,13833,2019-01-18 19:40:19-02:00,Chuva fina no meu para-brisa  só que não ! em São Paulo  Brazil https://t.co/W5HDpgNxEe,19:40,2019-01-18
13982,13982,2019-01-18 16:49:41-02:00,"❤❤Raio X (18/01) Do Nosso Mineirinho Lindo Hoje Pela Manhã Na Casa Mais Vigiada Do Brasil❤❤
#TeamMaycon #BBB19 #TeamMaycon #TeamMineiro #MayconNoBBB #BBB #BBB19 #VamosPraCima #REDEBBB em… https://t.co/t1fiajKN6r",16:49,2019-01-18
14544,14544,2019-01-17 22:03:30-02:00,"Treina.
Treina na chuva (mesmo sem querer muito 😳).
Treina no sol.
Treina com um pouco de dor.
Treina que vem.
Treina.
Valeu por mais essa  gui.running e rpadovanpt 
#running #runner… https://t.co/adrvwh0Kjc",22:03,2019-01-17
14685,14685,2019-01-19 19:01:54-02:00,Tem arco íris  tem avião e tem chuva. em São Paulo  Brazil https://t.co/rNTN6Kp2BW,19:01,2019-01-19
15317,15317,2019-01-19 00:37:21-02:00,"🎶👏🏼 A-HA! U-HU! Ô CRISTIAN VOU COMER O SEU BOLO! A CHUVA CAI  A RUA INUNDA! Ô CRISTIAN VOU COMER O SEU BOLO? 👏🏼🎶
Cris  espero que você tenha passado um aniversário maravilhoso ontem  mas… https://t.co/MtdfRRf19I",00:37,2019-01-19
15605,15605,2019-01-20 18:14:58-02:00,"Hoje foi uma aula daquelas... No sol  na chuva  no calor. Foi incrível!
Zumba no parque já é sucesso! Sabe porque? Porque levamos diversão e alegria a todos que queiram participar ou… https://t.co/65KYDVjFhx",18:14,2019-01-20
